"id","radreply_dim","radaact_dim","ApplicationUser_dim","DeviceOwnership_dim","Vlan_dim"
1,14,32602,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
2,14,32603,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
3,14,32604,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
4,14,32605,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
5,14,32606,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
6,14,32607,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
7,14,32608,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
8,14,32609,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
9,14,32610,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
10,14,32611,"699d458e-6a02-4279-932e-c695f92b2d62",2208778,"Vlan1"
11,16,21845,"9e0ab395-6ebc-4899-b28a-f483e88876b8",2608783,"Vlan1"
12,16,21846,"9e0ab395-6ebc-4899-b28a-f483e88876b8",2608783,"Vlan1"
13,16,21847,"9e0ab395-6ebc-4899-b28a-f483e88876b8",2608783,"Vlan1"
14,16,21848,"9e0ab395-6ebc-4899-b28a-f483e88876b8",2608783,"Vlan1"
15,16,21849,"9e0ab395-6ebc-4899-b28a-f483e88876b8",2608783,"Vlan1"
16,21,30668,"5693d89e-5fef-4a33-89cf-0bca8510859e",3082145,"Vlan1"
17,21,30669,"5693d89e-5fef-4a33-89cf-0bca8510859e",3082145,"Vlan1"
18,35,24197,"158938e0-09ee-46e1-811e-bfef70352763",5022084,"Vlan1"
19,36,16807,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
20,36,16808,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
21,36,16809,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
22,36,16810,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
23,36,16811,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
24,36,16812,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
25,36,16813,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
26,36,16814,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
27,36,16815,"576fc624-191c-43a2-b047-99ced31859ef",5384186,"Vlan1"
28,39,7239,"186b0c39-3f6c-494d-9449-d2c160e5fd93",5564430,"Vlan1"
29,39,7240,"186b0c39-3f6c-494d-9449-d2c160e5fd93",5564430,"Vlan1"
30,39,7241,"186b0c39-3f6c-494d-9449-d2c160e5fd93",5564430,"Vlan1"
31,39,7242,"186b0c39-3f6c-494d-9449-d2c160e5fd93",5564430,"Vlan1"
32,39,7243,"186b0c39-3f6c-494d-9449-d2c160e5fd93",5564430,"Vlan1"
33,39,7244,"186b0c39-3f6c-494d-9449-d2c160e5fd93",5564430,"Vlan1"
34,42,9219,"eaa690cc-d666-4a50-a97a-38718741c7ed",6477955,"Vlan1"
35,42,9220,"eaa690cc-d666-4a50-a97a-38718741c7ed",6477955,"Vlan1"
36,42,9221,"eaa690cc-d666-4a50-a97a-38718741c7ed",6477955,"Vlan1"
37,42,9222,"eaa690cc-d666-4a50-a97a-38718741c7ed",6477955,"Vlan1"
38,42,9223,"eaa690cc-d666-4a50-a97a-38718741c7ed",6477955,"Vlan1"
39,42,9224,"eaa690cc-d666-4a50-a97a-38718741c7ed",6477955,"Vlan1"
40,57,19632,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
41,57,19633,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
42,57,19634,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
43,57,19635,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
44,57,19636,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
45,57,19637,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
46,57,19638,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
47,57,19639,"7d205194-f024-46af-a619-f1ff87f33313",8943332,"Vlan1"
48,93,9200,"eaa690cc-d666-4a50-a97a-38718741c7ed",15622831,"Vlan1"
49,93,9201,"eaa690cc-d666-4a50-a97a-38718741c7ed",15622831,"Vlan1"
50,93,9202,"eaa690cc-d666-4a50-a97a-38718741c7ed",15622831,"Vlan1"
51,93,9203,"eaa690cc-d666-4a50-a97a-38718741c7ed",15622831,"Vlan1"
52,93,9204,"eaa690cc-d666-4a50-a97a-38718741c7ed",15622831,"Vlan1"
