"id","username","value"
1,"80:80:80:80:80","124"
2,"345634563456","124"
3,"90:90:90:90:60.13:37","124"
4,"90:90:90:90:6013:37","124"
5,"7345634563456","124"
8,"carles-1430870752","Vlan10"
9,"trust-64320952","Vlan4"
10,"man-1963211467","Vlan4"
11,"denim-167430773","Vlan2"
12,"stumptown-1470378070","Vlan5"
13,"Marfa-324670135","Vlan6"
14,"terry-1501483406","Vlan10"
15,"direct-315097081","Vlan4"
16,"Skateboard-21163894","Vlan7"
17,"fanny-1625035979","Vlan8"
18,"hand-1189442629","Vlan10"
19,"master-86139497","Vlan6"
20,"denim-1548257711","Vlan2"
21,"ennui-1520652433","Vlan1"
22,"etsy-489842373","Vlan3"
23,"hand-2038563315","Vlan1"
24,"carles-968883440","Vlan10"
25,"put-33747495","Vlan3"
26,"apparel-1292008387","Vlan3"
27,"helvetica-1206551049","Vlan2"
28,"apparel-2089007906","Vlan1"
29,"park-537151869","Vlan7"
30,"shoreditch-1656925661","Vlan3"
31,"vegan-1331722735","Vlan7"
32,"put-1630483183","Vlan5"
33,"butcher-997477632","Vlan9"
34,"party-162485815","Vlan8"
35,"pickled-671453641","Vlan3"
36,"out-2062531636","Vlan9"
37,"on-479773408","Vlan8"
38,"Leggings-14825066","Vlan10"
39,"richardson-1333878602","Vlan3"
40,"echo-1681124881","Vlan10"
41,"Marfa-887915697","Vlan4"
42,"world-119148643","Vlan1"
43,"company-1850220712","Vlan1"
44,"richardson-1718768434","Vlan7"
45,"life-319600213","Vlan2"
46,"pour-over-1572991884","Vlan1"
47,"readymade-667666806","Vlan5"
48,"chillwave-1809088859","Vlan4"
49,"cred-900018565","Vlan1"
50,"photo-823500562","Vlan7"
51,"bag-441331411","Vlan9"
52,"haven't-929556465","Vlan6"
53,"they-569515569","Vlan4"
54,"fund-1090303683","Vlan5"
55,"life-1746166577","Vlan6"
56,"bag-523644860","Vlan3"
57,"hella-1599716892","Vlan2"
58,"sweater-675635054","Vlan3"
59,"fap-1996157343","Vlan8"
60,"richardson-2103371599","Vlan7"
61,"stumptown-288660816","Vlan4"
62,"wolf-1913153966","Vlan2"
63,"semiotics-955423157","Vlan6"
64,"problem-989543105","Vlan1"
65,"williamsburg-1961810088","Vlan8"
66,"mixtape-1495835291","Vlan5"
67,"mustache-840301097","Vlan4"
68,"world-427585606","Vlan7"
69,"direct-1272755870","Vlan5"
70,"rights-1914004770","Vlan6"
71,"bag-1384790946","Vlan8"
72,"Pop-up-1379633638","Vlan3"
73,"fap-919852270","Vlan7"
74,"Leggings-51293449","Vlan3"
75,"fact-385025534","Vlan2"
76,"Vinyl-842935973","Vlan9"
77,"street-257111809","Vlan5"
78,"portland-1688473983","Vlan3"
79,"group-1086805737","Vlan4"
80,"master-1798630206","Vlan3"
81,"mlkshk-658624603","Vlan5"
82,"pitchfork-1737960785","Vlan8"
83,"pour-over-1248449797","Vlan10"
84,"loko-150355089","Vlan7"
85,"PBR-1850213971","Vlan3"
86,"park-1570616031","Vlan3"
87,"Umami-1914110783","Vlan9"
88,"day-1578463510","Vlan8"
89,"heard-352850535","Vlan3"
90,"sriracha-553500464","Vlan2"
91,"master-695460517","Vlan6"
92,"sweater-298522502","Vlan9"
93,"small-1677382391","Vlan6"
94,"farm-to-table-1360452712","Vlan5"
95,"man-396757575","Vlan2"
96,"booth-728447316","Vlan4"
97,"it-859727682","Vlan2"
98,"raw-2120941585","Vlan7"
99,"bicycle-849096212","Vlan8"
100,"life-1488915766","Vlan1"
101,"Messenger-694021845","Vlan10"
102,"denim-1112566296","Vlan9"
103,"pickled-1796619390","Vlan2"
104,"fap-670618351","Vlan8"
105,"wayfarers-1163724771","Vlan8"
106,"terry-1910572395","Vlan10"
107,"high-620407074","Vlan4"
108,"polaroid-1459602002","Vlan9"
109,"forage-105096181","Vlan2"
110,"Dreamcatcher-456134127","Vlan1"
111,"bicycle-35372393","Vlan6"
